Órgão ofertante,Turma,Código,Disciplina,Docente,Horário,Sala/Lab
CC,2,IF722,TOPICOS AVANCADOS ENG. SOFTWARE (oferta a confirmar Prog. Dispos. Móvel),Davi Hirafuji Neiva,2M56 4M34 4M2
CC,3,IF722,TOPICOS AVANCADOS ENG. SOFTWARE,Augusto Sampaio,3M34 5M56 3M2,Grad01
CC,,IF723,SEM.ENG. SOFT LING. COMPUTACIONAL,André Luís de Medeiros Santos,4M34 4M2,E112
CC,,IF762,TOPICOS AVANCADOS EM INTERFACE,Judith Kelner,2M34 2M56 2M2,E232
CC,,IF738,REDES DE COMPUTADORES,Djamel Sadok,3M34 3M56 3M1,E121
CC,,IF708,PROGRAMACAO FUNCIONAL,Márcio Lopes Cornélio,3M56 5M34 5M2
CC,,IF742,AVALIACAO DESEMPENHO DE SISTEMAS,Paulo Romero Martins Maciel,3M56 5M34 5M2,Grad04
CC,,CIN0051,FUNDAMENTOS GEOMÉTRICOS PARA VISÃO COMPUTACIONAL,Silvio Melo,3T45 5T23
CC,,IF807,TOP. AVANC.SIST.SUP.DECIS.MIN.WEB,Ricardo Prudêncio,2M34 4M56 2M2
CC,,IF747,TOP. AVANC. REDES DE COMPUTADORES,Divanilson Rodrigo de Sousa Campelo,2T45 4T23 4T1
CC,2,IF706,TOPICOS AVANC.INTELEG.ARTIFICIAL (Computação Bionspirada),Paulo Salgado / Rodrigo Gabriel Ferreira Soares,2T23 5T23 5T1
CC,,IF702,REDES NEURAIS,Germano Vasconcelos,2M56 6M34 6M2
CC,,IF755,REALIDADE VIRTUAL,Francisco Paulo Magalhães Simões,3M56 5M34 5M2
CC,,IF760,TOPICOS AVANCADOS EM MIDIAS,Giordano Cabral,4M34 6M56 6T1
CC,,IF799,PROG.DECLARATIVA B.D.INTELIGENTES,Fred Freitas,2T23 4T45 2T1
CC,,CT784,CONTABILIDADE FINANC. E GERENCIAL,Daniel Cunha,4M34 6M56 6T1,E231
EC,,IF848,DETECCAO DE INTRUSAO,Paulo Freitas Araújo Filho,3T23 5T45 3T1,Grad03
EC,,IF826,TOP.AVANC. SIST. INTELIG.ROBOTICA,Adrien,2M56 4M34 2M2,E122
EC,,ES204,ELETROMAGNETISMO 2,Odilon Maroja da Costa Pereira Filho,3M34 5M56
SI,,EC453,ECONOMIA DAS EMPRESAS,José Carlos Cavalcanti,4T6 4N1 6N23,E112
SI,,EP100,GESTÃO DA PRODUÇÃO,Suzana de França Dantas Daher / Anderson Lucas Carneiro de Lima da Silva,3N23 5T6 5N1,E231
SI,,IF1000,INTERAÇÃO HUMANO-COMPUTADOR,Luiz Augusto Morais,2N23 4T6 4N1,E132
SI,,IF1001,PROGRAMAÇÃO 3 (oferta a confirmar),Davi Hirafuji Neiva,2T6 2N1 5N23,Grad04
SI,,IF997,TÓPICOS AVANÇADOS EM SI 1,Hermano Perrelli de Moura,3T6 3N1 6N23,E121
SI,,IF993,PROCESSOS DE SOFTWARE,Célio Andrade de Santana Júnior,6T6 6N1 6N23
SI,,IF1006,TÓPICOS AVANÇADOS EM SI 3,Vinicius Cardoso Garcia,2N23 4T6 4N1,Grad03
SI,,IF1008,ENGENHARIA DE REQUISITOS,Carla Silva Schuenemann,3N23 5T6 5N1,Grad01
SI,,IF1002,AVALIAÇÃO DE DESEMPENHO DE SISTEMAS (oferta a confirmar),Caio Bruno Bezerra de Souza,2N23 4T6 4N1,E122
SI,,IF1007,TÓPICOS AVANÇADOS EM SI 4 (oferta a confirmar),Maíra Araújo de Santana,2T6 2N1 4N23
SI,,IF1009,TESTE DE VALIDAÇÃO DE SOFTWARE,Paola Rodrigues de Godoy Accioly,3N23 5T6 5N1,Grad04
SI,,PG515,DIREITO E ÉTICA EM INFORMÁTICA,Gina Gouveia,4T6 4N1 4N23,Anfiteatro
SI,,EP101,LOGÍSTICA,Suzana de França Dantas Daher / Anderson Lucas Carneiro de Lima da Silva,3T6 3N1 5N23,E231
SI,,IF1014,TÓPICOS AVANÇADOS EM SI 5,Leandro Maciel Almeida,2T6 2N1 4N23,E233
SI,,IF1017,INTELIGÊNCIA ARTIFICIAL,Flávio Arthur Oliveira Santos,6T6 6N1 6N23,Grad04
